gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.43094347375098063	36	0.868	nan	nan
1	404	0.4299136346462172	36	0.84	nan	nan
2	404	0.366083964492755	9	0.794	nan	nan
3	395	0.366083964492755	9	0.716	nan	nan
4	392	0.361824561544195	12	0.594	nan	nan
5	413	0.3502657575444153	10	0.554	nan	nan
6	408	0.34450728390378116	15	0.498	nan	nan
7	405	0.34450728390378116	15	0.434	nan	nan
8	408	0.34450728390378116	15	0.412	nan	nan
9	412	0.34450728390378116	15	0.412	nan	nan
10	416	0.344459207337999	72	0.31	nan	nan
11	394	0.34226103553027964	29	0.278	nan	nan
12	419	0.34226103553027964	29	0.17	nan	nan
13	393	0.34226103553027964	29	0.176	nan	nan
14	397	0.3388475420031825	28	0.178	nan	nan
15	394	0.3377944894940025	90	0.184	nan	nan
16	391	0.33713686039024593	92	0.208	nan	nan
17	419	0.33713686039024593	92	0.188	nan	nan
18	394	0.33713686039024593	92	0.166	nan	nan
19	404	0.33585797200533335	114	0.174	nan	nan
20	411	0.33585797200533335	114	0.166	nan	nan
21	404	0.33553335120462463	114	0.152	nan	nan
22	401	0.33503662100605197	118	0.116	nan	nan
23	408	0.33503662100605197	118	0.096	nan	nan
24	397	0.33503662100605197	118	0.094	nan	nan
25	381	0.3341038201671106	140	0.11	nan	nan
26	407	0.3340435191205768	140	0.098	nan	nan
27	387	0.3334752061561979	142	0.088	nan	nan
28	386	0.33338940820964336	142	0.09	nan	nan
29	423	0.33233012748645313	135	0.11	nan	nan
30	398	0.33233012748645313	135	0.056	nan	nan
31	408	0.3319506799046772	159	0.116	nan	nan
32	409	0.3313708618828156	138	0.116	nan	nan
33	395	0.33125084618066153	138	0.12	nan	nan
34	402	0.33125084618066153	138	0.124	nan	nan
35	397	0.3307788098666411	153	0.166	nan	nan
36	406	0.33041967063664235	132	0.14	nan	nan
37	415	0.33040100894859725	180	0.148	nan	nan
38	403	0.33040100894859725	180	0.12	nan	nan
39	401	0.33014241646895415	182	0.14	nan	nan
40	389	0.3301021008839724	170	0.078	nan	nan
41	416	0.32992369373155994	182	0.122	nan	nan
42	400	0.3298213680195218	196	0.114	nan	nan
43	406	0.32968239958721846	196	0.108	nan	nan
44	412	0.32960189176837196	144	0.118	nan	nan
45	419	0.32960189176837196	144	0.118	nan	nan
46	388	0.3291545165564926	145	0.128	nan	nan
47	407	0.32840304321754143	47	0.118	nan	nan
48	419	0.32720516334527766	47	0.102	nan	nan
49	412	0.3262574292538293	46	0.124	nan	nan
50	403	0.3261998055044186	69	0.066	0.8662790697674418	WTA(OWA(OWA(OWA(OWA(IN17, IN19, '0.4'), OWA(OWA(IN17, OWA(IN18, IN19, extend('0.4')), extend('0.6')), OWA(IN17, OWA(IN18, IN19, extend('0.4')), extend('0.6')), extend('0.4')), '0.4'), OWA(IN17, OWA(IN17, OWA(IN18, IN19, extend('0.4')), extend('0.6')), '0.6'), '0.4'), OWA(IN17, OWA(IN17, OWA(IN18, IN19, extend('0.4')), extend('0.6')), extend('0.6')), '0.4'), complement(OWA(IN17, OWA(IN17, OWA(IN18, IN19, '0.4'), '0.6'), extend('0.6'))))
