gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.43409327839365036	76	0.834	nan	nan
1	403	0.43409327839365036	76	0.81	nan	nan
2	414	0.3999427120151477	77	0.74	nan	nan
3	402	0.39468840435629404	66	0.688	nan	nan
4	390	0.3849051116974049	57	0.67	nan	nan
5	386	0.36271893653284043	69	0.704	nan	nan
6	407	0.3544974572659437	89	0.612	nan	nan
7	435	0.3481258100504073	86	0.43	nan	nan
8	422	0.33974146544666795	73	0.246	nan	nan
9	410	0.3381488211995146	71	0.204	nan	nan
10	400	0.3381488211995146	71	0.21	nan	nan
11	405	0.3369377358288915	74	0.158	nan	nan
12	406	0.33662715984433184	98	0.118	nan	nan
13	399	0.3342126246341704	75	0.082	nan	nan
14	432	0.3316364763500686	75	0.1	nan	nan
15	402	0.33111495898968424	75	0.082	nan	nan
16	410	0.32884818444741865	71	0.096	nan	nan
17	426	0.32728394607973693	75	0.09	nan	nan
18	413	0.32490944624362056	66	0.09	nan	nan
19	423	0.3243252170574977	67	0.076	nan	nan
20	416	0.3226072144278488	63	0.1	nan	nan
21	393	0.3217937281873089	80	0.094	nan	nan
22	401	0.3168938546197917	73	0.086	nan	nan
23	411	0.3168938546197917	73	0.096	nan	nan
24	409	0.3168938546197917	73	0.084	nan	nan
25	397	0.31510852604643147	73	0.132	nan	nan
26	404	0.31510852604643147	73	0.13	nan	nan
27	418	0.31444079138231396	71	0.122	nan	nan
28	397	0.31294061407583246	77	0.124	nan	nan
29	386	0.3129224905208848	112	0.12	nan	nan
30	402	0.3117006573206914	111	0.114	nan	nan
31	410	0.3105699173238705	77	0.136	nan	nan
32	396	0.3105699173238705	77	0.13	nan	nan
33	412	0.3105699173238705	77	0.15	nan	nan
34	399	0.30994215931018104	77	0.112	nan	nan
35	394	0.30977334014172775	77	0.12	nan	nan
36	407	0.30977334014172775	77	0.122	nan	nan
37	418	0.3085710047371495	71	0.112	nan	nan
38	405	0.3085710047371495	71	0.116	nan	nan
39	402	0.3085710047371495	71	0.112	nan	nan
40	391	0.3082980588670755	71	0.12	nan	nan
41	419	0.30746116401487444	79	0.17	nan	nan
42	411	0.3073526087720268	79	0.166	nan	nan
43	427	0.30703436346077184	74	0.19	nan	nan
44	391	0.3063527086580689	83	0.156	nan	nan
45	419	0.3062803750145388	78	0.214	nan	nan
46	403	0.3062803750145388	78	0.214	nan	nan
47	406	0.30432133924077054	80	0.18	nan	nan
48	412	0.30432133924077054	80	0.178	nan	nan
49	386	0.3039750988473392	91	0.184	nan	nan
50	401	0.3039750988473392	91	0.22	0.8372093023255814	WTA(OWA(complement(OWA(WA(complement(maximum(minimum(IN26, IN17), WA(IN7, IN12, '0.6'))), IN23, extend(extend(extend(extend('0.7'))))), complement(maximum(minimum(IN26, IN17), WA(IN7, IN18, '0.1'))), extend(extend(extend('0.7'))))), concentrator(concentrator(minimum(concentrator(IN23), concentrator(IN17)))), extend(extend(extend('0.9')))), complement(OWA(complement(OWA(WA(complement(maximum(minimum(IN26, maximum(minimum(IN26, IN17), WA(IN7, IN12, '0.6'))), WA(IN7, IN12, '0.6'))), IN23, '0.9'), complement(maximum(minimum(IN23, IN17), WA(minimum(concentrator(IN29), concentrator(IN17)), IN18, extend('0.3')))), extend('0.7'))), concentrator(minimum(concentrator(IN23), concentrator(IN17))), extend('0.9'))))
