gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4650097107988959	79	0.892	nan	nan
1	413	0.45216742480765737	25	0.688	nan	nan
2	421	0.4395774544478509	26	0.672	nan	nan
3	398	0.43380666067464757	26	0.57	nan	nan
4	412	0.4134377058953636	37	0.632	nan	nan
5	389	0.4006600412690413	27	0.596	nan	nan
6	402	0.4006600412690413	27	0.46	nan	nan
7	423	0.3934354810003558	27	0.488	nan	nan
8	406	0.39147460201037065	33	0.52	nan	nan
9	402	0.38606685298672	51	0.536	nan	nan
10	385	0.3843294165535074	44	0.42	nan	nan
11	381	0.3815936581695693	33	0.368	nan	nan
12	412	0.38126180532939297	33	0.404	nan	nan
13	410	0.37961504425073367	36	0.352	nan	nan
14	404	0.3730535070679592	33	0.362	nan	nan
15	405	0.3730535070679592	33	0.37	nan	nan
16	411	0.3729027000516767	32	0.362	nan	nan
17	401	0.36861371436377255	47	0.324	nan	nan
18	394	0.367850819942845	40	0.26	nan	nan
19	417	0.367850819942845	40	0.324	nan	nan
20	402	0.36530613446616217	57	0.298	nan	nan
21	408	0.36404276224885446	40	0.33	nan	nan
22	419	0.36291791238726856	62	0.368	nan	nan
23	410	0.3604025178186584	62	0.358	nan	nan
24	423	0.3597203029371788	63	0.328	nan	nan
25	421	0.3539695054730664	75	0.348	nan	nan
26	408	0.3518335634120674	75	0.356	nan	nan
27	382	0.35093662674551684	74	0.4	nan	nan
28	410	0.34846709134253534	89	0.354	nan	nan
29	396	0.3473821546008358	86	0.34	nan	nan
30	404	0.3462700372953712	94	0.38	nan	nan
31	378	0.34608318928910137	102	0.342	nan	nan
32	388	0.34497075459628257	94	0.32	nan	nan
33	419	0.34372188634025264	104	0.326	nan	nan
34	406	0.3432321873663988	103	0.312	nan	nan
35	434	0.3430493439315076	104	0.272	nan	nan
36	427	0.34266284264307467	105	0.228	nan	nan
37	405	0.34195357639006474	103	0.228	nan	nan
38	394	0.34132202000653267	117	0.202	nan	nan
39	407	0.34125233574746894	118	0.234	nan	nan
40	387	0.3395252553842511	119	0.21	nan	nan
41	401	0.3382076296403072	112	0.212	nan	nan
42	404	0.33718610275738187	116	0.222	nan	nan
43	414	0.33718610275738187	116	0.252	nan	nan
44	398	0.33692820508856686	116	0.202	nan	nan
45	404	0.3369250327041313	125	0.188	nan	nan
46	418	0.3366810678213804	117	0.206	nan	nan
47	395	0.334046639291421	115	0.174	nan	nan
48	398	0.3340306990160232	115	0.2	nan	nan
49	405	0.33379736857416104	118	0.234	nan	nan
50	387	0.33361635025240693	117	0.222	0.8666666666666667	WTA(dilator(OWA(OWA(complement(WA(concentrator(concentrator(maximum(IN33, IN31))), IN5, '0.4')), OWA(IN28, complement(complement(IN22)), '0.1'), extend('0.2')), OWA(IN20, complement(maximum(concentrator(maximum(maximum(concentrator(maximum(IN33, WA(complement(OWA(IN28, complement(concentrator(IN21)), '0.1')), IN5, '0.4'))), IN31), IN31)), concentrator(concentrator(maximum(IN33, concentrator(maximum(complement(IN22), IN31))))))), extend('0.7')), extend('0.1'))), WA(concentrator(maximum(IN33, concentrator(maximum(concentrator(maximum(maximum(concentrator(maximum(IN33, WA(complement(OWA(IN28, complement(dilator(IN24)), '0.1')), IN25, '0.2'))), WA(complement(OWA(IN28, complement(dilator(IN24)), '0.1')), IN5, '0.4')), IN31)), concentrator(maximum(complement(IN22), IN31)))))), WA(complement(OWA(IN28, complement(complement(IN22)), extend('0.2'))), WA(complement(OWA(complement(concentrator(IN21)), complement(dilator(IN24)), '0.1')), IN5, '0.4'), '0.4'), '0.4'))
