gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4565072263902135	9	0.898	nan	nan
1	392	0.4565072263902135	9	0.782	nan	nan
2	387	0.44780310140510843	29	0.748	nan	nan
3	420	0.43673277598503724	27	0.714	nan	nan
4	435	0.43310779774375285	27	0.736	nan	nan
5	411	0.4142533642136819	26	0.62	nan	nan
6	401	0.40560931808689865	26	0.584	nan	nan
7	418	0.4051679109160004	28	0.592	nan	nan
8	386	0.3927489747968075	50	0.544	nan	nan
9	406	0.3888049604844276	29	0.524	nan	nan
10	395	0.3814201688866198	31	0.542	nan	nan
11	399	0.3793710285166989	34	0.622	nan	nan
12	413	0.3789263963040781	31	0.622	nan	nan
13	405	0.37614405758391495	34	0.57	nan	nan
14	388	0.37247505850350365	37	0.476	nan	nan
15	395	0.3683465875704231	40	0.418	nan	nan
16	403	0.3683465875704231	40	0.454	nan	nan
17	413	0.36590549114251064	42	0.47	nan	nan
18	425	0.3647598074670353	43	0.51	nan	nan
19	425	0.3622503953561983	38	0.452	nan	nan
20	413	0.3622503953561983	38	0.466	nan	nan
21	397	0.3596643040259352	40	0.414	nan	nan
22	417	0.3596643040259352	40	0.366	nan	nan
23	423	0.3574495073841885	38	0.326	nan	nan
24	392	0.3574495073841885	38	0.306	nan	nan
25	409	0.3574495073841885	38	0.33	nan	nan
26	405	0.3574049481315639	47	0.278	nan	nan
27	392	0.35689059984163096	58	0.298	nan	nan
28	427	0.3561603745084059	77	0.28	nan	nan
29	407	0.3561603745084059	77	0.274	nan	nan
30	412	0.35611758106916885	77	0.25	nan	nan
31	406	0.3560321921497165	89	0.212	nan	nan
32	394	0.35590744315101785	77	0.162	nan	nan
33	414	0.35569276364347024	81	0.134	nan	nan
34	391	0.3554120814161082	63	0.124	nan	nan
35	420	0.3552625752855186	80	0.13	nan	nan
36	406	0.3552625752855186	80	0.14	nan	nan
37	406	0.3515427828232621	82	0.124	nan	nan
38	420	0.3515427828232621	82	0.158	nan	nan
39	434	0.3515427828232621	82	0.162	nan	nan
40	409	0.35117503094185265	73	0.124	nan	nan
41	410	0.3510398136711599	74	0.12	nan	nan
42	403	0.3510398136711599	74	0.114	nan	nan
43	411	0.3509348665318399	74	0.116	nan	nan
44	400	0.34937475383624256	79	0.132	nan	nan
45	400	0.34937475383624256	79	0.12	nan	nan
46	378	0.34937475383624256	79	0.136	nan	nan
47	393	0.34925901725817526	80	0.146	nan	nan
48	400	0.34924686508909586	84	0.148	nan	nan
49	387	0.34924609429945414	79	0.12	nan	nan
50	390	0.3490670772653109	87	0.096	0.8266666666666667	WTA(WA(concentrator(complement(complement(OWA(IN32, dilator(OWA(complement(IN4), OWA(complement(IN4), complement(complement(OWA(dilator(OWA(complement(IN4), IN21, extend('0.6'))), dilator(OWA(IN6, IN21, '0.8')), extend('0.6')))), '0.6'), '0.8')), extend('0.6'))))), dilator(IN28), '0.6'), WA(WA(maximum(IN25, complement(OWA(complement(IN15), dilator(OWA(IN32, dilator(OWA(complement(IN4), IN21, '0.8')), extend(extend(extend('0.8'))))), '0.4'))), WA(complement(IN32), complement(OWA(IN32, dilator(OWA(complement(IN4), IN21, '0.8')), extend(extend('0.6')))), extend('0.6')), extend('0.3')), WA(complement(IN28), IN4, extend(extend('0.6'))), '0.4'))
