gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.30434530653253844	9	0.97	nan	nan
1	417	0.28816154453186005	17	0.828	nan	nan
2	418	0.2605297085980021	11	0.78	nan	nan
3	390	0.2419123885448462	11	0.62	nan	nan
4	415	0.22590681323874007	11	0.552	nan	nan
5	386	0.22590681323874007	11	0.52	nan	nan
6	415	0.22590681323874007	11	0.442	nan	nan
7	398	0.21859680823430522	10	0.412	nan	nan
8	398	0.21859680823430522	10	0.352	nan	nan
9	412	0.2167500888338334	16	0.28	nan	nan
10	407	0.21646107352930627	9	0.238	nan	nan
11	411	0.21549102566932438	15	0.236	nan	nan
12	407	0.21154330126745138	6	0.22	nan	nan
13	421	0.21154330126745138	6	0.216	nan	nan
14	388	0.21154330126745138	6	0.184	nan	nan
15	414	0.21154330126745138	6	0.172	nan	nan
16	398	0.21154330126745136	13	0.178	nan	nan
17	387	0.21154330126745136	13	0.198	nan	nan
18	399	0.20722155756991378	16	0.174	nan	nan
19	392	0.20722155756991378	16	0.176	nan	nan
20	411	0.20688629561257735	9	0.176	nan	nan
21	427	0.2065108650114811	9	0.172	nan	nan
22	411	0.2065108650114811	9	0.158	nan	nan
23	385	0.2065108650114811	9	0.162	nan	nan
24	398	0.2065108650114811	9	0.174	nan	nan
25	435	0.2065108650114811	9	0.114	nan	nan
26	419	0.2065108650114811	9	0.208	nan	nan
27	384	0.2065108650114811	9	0.156	nan	nan
28	403	0.2065108650114811	9	0.178	nan	nan
29	428	0.2065108650114811	9	0.14	nan	nan
30	407	0.2065108650114811	9	0.158	nan	nan
31	396	0.2065108650114811	9	0.142	nan	nan
32	413	0.2065108650114811	9	0.13	nan	nan
33	414	0.2065108650114811	9	0.138	nan	nan
34	415	0.2065108650114811	9	0.148	nan	nan
35	412	0.2065108650114811	9	0.146	nan	nan
36	411	0.2065108650114811	9	0.148	nan	nan
37	411	0.2065108650114811	9	0.144	nan	nan
38	431	0.2065108650114811	9	0.148	nan	nan
39	402	0.2065108650114811	9	0.14	nan	nan
40	388	0.2065108650114811	9	0.164	nan	nan
41	413	0.2065108650114811	9	0.162	nan	nan
42	384	0.2065108650114811	9	0.154	nan	nan
43	407	0.2065108650114811	9	0.164	nan	nan
44	373	0.2065108650114811	9	0.152	nan	nan
45	420	0.2065108650114811	9	0.172	nan	nan
46	415	0.2065108650114811	9	0.172	nan	nan
47	405	0.2065108650114811	9	0.172	nan	nan
48	393	0.2065108650114811	9	0.162	nan	nan
49	391	0.2065108650114811	9	0.15	nan	nan
50	411	0.2065108650114811	9	0.096	1.0	WTA3(IN9, concentrator(OWA(IN7, IN10, '0.4')), dilator(IN11))
