gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.34450960841891937	16	0.946	nan	nan
1	398	0.31235345706157275	11	0.772	nan	nan
2	407	0.28488400177655376	11	0.716	nan	nan
3	397	0.24455924964869402	19	0.608	nan	nan
4	400	0.24198672101910654	18	0.492	nan	nan
5	409	0.23903106606721305	21	0.452	nan	nan
6	415	0.2223956291897798	16	0.354	nan	nan
7	390	0.2223956291897798	16	0.278	nan	nan
8	417	0.205109993977616	14	0.19	nan	nan
9	396	0.205109993977616	14	0.194	nan	nan
10	408	0.20401373858441868	14	0.158	nan	nan
11	397	0.20233330308057496	12	0.144	nan	nan
12	421	0.20233330308057496	12	0.174	nan	nan
13	421	0.20228446557732482	10	0.13	nan	nan
14	397	0.20228446557732482	10	0.118	nan	nan
15	405	0.20190734079917047	19	0.08	nan	nan
16	416	0.20131205020736878	19	0.082	nan	nan
17	430	0.1986734545265613	17	0.094	nan	nan
18	421	0.198165726094035	15	0.106	nan	nan
19	403	0.19815103013420016	19	0.152	nan	nan
20	408	0.19813037900910446	23	0.122	nan	nan
21	418	0.19813037900910446	23	0.11	nan	nan
22	407	0.198120674471393	26	0.122	nan	nan
23	399	0.198120674471393	26	0.112	nan	nan
24	388	0.198120674471393	26	0.122	nan	nan
25	406	0.198120674471393	26	0.134	nan	nan
26	438	0.19811913217644275	28	0.102	nan	nan
27	410	0.19811913217644275	28	0.096	nan	nan
28	411	0.19811913217644275	28	0.074	nan	nan
29	413	0.19811913217644275	28	0.078	nan	nan
30	410	0.19811913217644275	28	0.072	nan	nan
31	410	0.19811913217644275	28	0.086	nan	nan
32	412	0.19811913217644275	28	0.09	nan	nan
33	415	0.19811913217644275	28	0.068	nan	nan
34	390	0.19811913217644275	28	0.076	nan	nan
35	417	0.19811913217644275	28	0.088	nan	nan
36	416	0.19811913217644275	28	0.074	nan	nan
37	406	0.19811913217644275	28	0.08	nan	nan
38	408	0.19811913217644275	28	0.082	nan	nan
39	396	0.19811913217644275	28	0.072	nan	nan
40	411	0.19811913217644275	28	0.076	nan	nan
41	392	0.19811913217644275	28	0.074	nan	nan
42	426	0.19811913217644275	28	0.07	nan	nan
43	400	0.19811913217644275	28	0.088	nan	nan
44	408	0.19811913217644275	28	0.072	nan	nan
45	426	0.19811913217644275	28	0.074	nan	nan
46	414	0.19811913217644275	28	0.072	nan	nan
47	400	0.19811913217644275	28	0.076	nan	nan
48	408	0.19811913217644275	28	0.076	nan	nan
49	413	0.19811913217644275	28	0.082	nan	nan
50	417	0.19811913217644275	28	0.072	0.9736842105263158	WTA3(WA(IN6, IN9, extend(extend(extend(extend(extend('0.6')))))), concentrator(WA(IN10, WA(IN7, WA(IN10, WA(IN7, IN10, '0.5'), extend('0.6')), extend('0.7')), '0.5')), dilator(IN11))
