gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.45150659654679165	11	0.91	nan	nan
1	410	0.4220046877604433	6	0.8	nan	nan
2	380	0.4220046877604433	6	0.746	nan	nan
3	389	0.4220046877604433	6	0.706	nan	nan
4	380	0.4187403156792029	10	0.586	nan	nan
5	391	0.4187403156792029	10	0.524	nan	nan
6	390	0.4187403156792029	10	0.494	nan	nan
7	390	0.4187403156792029	10	0.402	nan	nan
8	390	0.4177648740393701	7	0.428	nan	nan
9	405	0.41765071954052185	18	0.448	nan	nan
10	420	0.41710919078947895	18	0.358	nan	nan
11	390	0.4159731004439806	18	0.432	nan	nan
12	389	0.41555917441687645	23	0.364	nan	nan
13	391	0.41555917441687645	23	0.322	nan	nan
14	395	0.4120253790800633	43	0.272	nan	nan
15	400	0.405599854302607	43	0.306	nan	nan
16	369	0.405599854302607	43	0.264	nan	nan
17	394	0.400813311594307	49	0.276	nan	nan
18	390	0.3994288075823526	49	0.278	nan	nan
19	396	0.3994288075823526	49	0.308	nan	nan
20	403	0.3988631408384085	49	0.212	nan	nan
21	379	0.3986912917822841	49	0.302	nan	nan
22	391	0.3986912917822841	49	0.286	nan	nan
23	398	0.39785268685910086	49	0.248	nan	nan
24	399	0.39785268685910086	49	0.268	nan	nan
25	380	0.39776093373229776	49	0.266	nan	nan
26	383	0.39713318464095176	70	0.238	nan	nan
27	399	0.39675520184096386	70	0.26	nan	nan
28	407	0.39659024051782193	70	0.242	nan	nan
29	417	0.39652725208042006	70	0.27	nan	nan
30	398	0.39652725208042006	70	0.188	nan	nan
31	391	0.39646021073077786	64	0.264	nan	nan
32	391	0.39540247574361964	64	0.214	nan	nan
33	398	0.39540247574361964	64	0.23	nan	nan
34	367	0.39531197344749247	61	0.23	nan	nan
35	388	0.39531197344749247	61	0.236	nan	nan
36	400	0.39487874490467123	62	0.256	nan	nan
37	393	0.39487874490467123	62	0.27	nan	nan
38	393	0.39487874490467123	62	0.282	nan	nan
39	389	0.39487874490467123	62	0.274	nan	nan
40	379	0.39294585832106466	68	0.226	nan	nan
41	381	0.39294585832106466	68	0.286	nan	nan
42	400	0.39289112330502873	68	0.31	nan	nan
43	409	0.39270908419137723	57	0.296	nan	nan
44	399	0.39270908419137723	57	0.304	nan	nan
45	367	0.39270908419137723	57	0.268	nan	nan
46	396	0.39270908419137723	57	0.282	nan	nan
47	404	0.39270908419137723	57	0.306	nan	nan
48	384	0.3926799774974868	57	0.274	nan	nan
49	398	0.3926799774974868	57	0.274	nan	nan
50	412	0.3926799774974868	57	0.236	0.7083333333333334	WTA(maximum(WA(complement(IN22), WA(complement(IN5), IN4, '0.9'), '0.3'), WA(complement(IN22), WA(complement(IN5), IN4, '0.9'), '0.3')), WA(OWA(OWA(IN22, OWA(OWA(IN22, OWA(IN19, IN5, '0.6'), '0.6'), IN5, '0.6'), '0.6'), IN5, '0.9'), OWA(WA(OWA(OWA(IN22, OWA(IN22, IN5, '0.6'), '0.3'), IN5, '0.9'), OWA(IN19, IN5, '0.6'), '0.6'), IN5, '0.6'), '0.3'))
