Run started: 2026-07-25 00:01:48.679662
Total experiments: 245
Max workers: 11

[1/245] ✓ baseline | iris (4m24s, code=0)
[2/245] ✓ iris | n=5 mr=2% freq=1 (4m28s, code=0)
[3/245] ✓ baseline | wine (6m00s, code=0)
[4/245] ✓ wine | n=5 mr=5% freq=1 (6m05s, code=0)
[5/245] ✓ wine | n=5 mr=2% freq=1 (6m08s, code=0)
[6/245] ✓ heartDisease | n=5 mr=2% freq=1 (8m27s, code=0)
[7/245] ✓ baseline | heartDisease (8m28s, code=0)
[8/245] ✓ iris | n=5 mr=5% freq=1 (4m26s, code=0)
[9/245] ✓ wine | n=5 mr=10% freq=1 (5m58s, code=0)
[10/245] ✓ iris | n=5 mr=10% freq=1 (4m20s, code=0)
[11/245] ✓ australian | n=5 mr=2% freq=1 (13m13s, code=0)
[12/245] ✓ baseline | australian (13m19s, code=0)
[13/245] ✓ pima | n=5 mr=2% freq=1 (13m46s, code=0)
[14/245] ✓ baseline | pima (14m08s, code=0)
[15/245] ✓ heartDisease | n=5 mr=5% freq=1 (8m07s, code=0)
[16/245] ✓ iris | n=5 mr=15% freq=1 (4m14s, code=0)
[17/245] ✓ australian | n=5 mr=5% freq=1 (13m11s, code=0)
[18/245] ✓ wine | n=5 mr=15% freq=1 (5m44s, code=0)
[19/245] ✓ wine | n=10 mr=2% freq=1 (5m29s, code=0)
[20/245] ✓ pima | n=5 mr=5% freq=1 (13m42s, code=0)
[21/245] ✓ heartDisease | n=5 mr=10% freq=1 (8m18s, code=0)
[22/245] ✓ iris | n=10 mr=2% freq=1 (4m02s, code=0)
[23/245] ✓ australian | n=5 mr=10% freq=1 (13m17s, code=0)
[24/245] ✓ heartDisease | n=5 mr=15% freq=1 (8m24s, code=0)
[25/245] ✓ pima | n=5 mr=10% freq=1 (13m51s, code=0)
[26/245] ✓ iris | n=10 mr=5% freq=1 (4m06s, code=0)
[27/245] ✓ wine | n=10 mr=5% freq=1 (5m42s, code=0)
[28/245] ✓ australian | n=5 mr=15% freq=1 (13m35s, code=0)
[29/245] ✓ heartDisease | n=10 mr=2% freq=1 (7m53s, code=0)
[30/245] ✓ pima | n=5 mr=15% freq=1 (14m08s, code=0)
[31/245] ✓ wine | n=10 mr=10% freq=1 (5m46s, code=0)
[32/245] ✓ iris | n=10 mr=10% freq=1 (4m11s, code=0)
[33/245] ✓ australian | n=10 mr=2% freq=1 (12m54s, code=0)
[34/245] ✓ heartDisease | n=10 mr=5% freq=1 (8m04s, code=0)
[35/245] ✓ pima | n=10 mr=2% freq=1 (13m14s, code=0)
[36/245] ✓ iris | n=10 mr=15% freq=1 (4m17s, code=0)
[37/245] ✓ wine | n=10 mr=15% freq=1 (5m47s, code=0)
[38/245] ✓ australian | n=10 mr=5% freq=1 (12m57s, code=0)
[39/245] ✓ pima | n=10 mr=5% freq=1 (13m23s, code=0)
[40/245] ✓ heartDisease | n=10 mr=10% freq=1 (8m21s, code=0)
[41/245] ✓ iris | n=15 mr=2% freq=1 (3m57s, code=0)
[42/245] ✓ wine | n=15 mr=2% freq=1 (5m38s, code=0)
[43/245] ✓ australian | n=10 mr=10% freq=1 (13m20s, code=0)
[44/245] ✓ heartDisease | n=10 mr=15% freq=1 (8m24s, code=0)
[45/245] ✓ iris | n=15 mr=5% freq=1 (3m49s, code=0)
[46/245] ✓ pima | n=10 mr=10% freq=1 (13m51s, code=0)
[47/245] ✓ wine | n=15 mr=5% freq=1 (5m22s, code=0)
