dataset,config,n_runs,mean_acc,std_acc,mean_bd,std_bd
wine,demes_10_mr10_freq1,30,0.9156,0.0549,0.0921,0.0425
wine,demes_10_mr10_freq10,30,0.9044,0.0474,0.1661,0.0425
wine,demes_10_mr10_freq25,30,0.9222,0.0401,0.1645,0.0308
wine,demes_10_mr10_freq5,30,0.9207,0.0493,0.1375,0.0398
wine,demes_10_mr15_freq1,30,0.9244,0.0458,0.0698,0.0478
wine,demes_10_mr15_freq10,30,0.9037,0.0415,0.1177,0.0344
wine,demes_10_mr15_freq25,30,0.9067,0.0518,0.14,0.0301
wine,demes_10_mr15_freq5,30,0.9156,0.0464,0.1,0.0541
wine,demes_10_mr2_freq1,30,0.9119,0.0457,0.1253,0.0407
wine,demes_10_mr2_freq10,30,0.9133,0.0403,0.233,0.0377
wine,demes_10_mr2_freq25,30,0.9119,0.0478,0.2366,0.0343
wine,demes_10_mr2_freq5,30,0.9022,0.0598,0.2163,0.0556
wine,demes_10_mr5_freq1,30,0.9215,0.0499,0.135,0.0548
wine,demes_10_mr5_freq10,30,0.9133,0.0407,0.2103,0.0433
wine,demes_10_mr5_freq25,30,0.9104,0.0508,0.2171,0.0346
wine,demes_10_mr5_freq5,30,0.9215,0.0392,0.2016,0.0615
wine,demes_15_mr10_freq1,30,0.92,0.0502,0.1109,0.0637
wine,demes_15_mr10_freq10,30,0.9015,0.0604,0.1755,0.0401
wine,demes_15_mr10_freq25,30,0.9037,0.06,0.213,0.035
wine,demes_15_mr10_freq5,30,0.9081,0.0534,0.1719,0.0478
wine,demes_15_mr15_freq1,30,0.9193,0.0512,0.0871,0.0571
wine,demes_15_mr15_freq10,30,0.9096,0.0618,0.1395,0.0363
wine,demes_15_mr15_freq25,30,0.9067,0.0488,0.1747,0.0233
wine,demes_15_mr15_freq5,30,0.9163,0.0432,0.1321,0.053
wine,demes_15_mr2_freq1,30,0.9237,0.0506,0.1545,0.0622
wine,demes_15_mr2_freq10,30,0.9059,0.0546,0.226,0.0409
wine,demes_15_mr2_freq25,30,0.9022,0.0543,0.2589,0.0314
wine,demes_15_mr2_freq5,30,0.9044,0.0616,0.2183,0.044
wine,demes_15_mr5_freq1,30,0.9074,0.0554,0.1318,0.0417
wine,demes_15_mr5_freq10,30,0.9074,0.0526,0.2117,0.0411
wine,demes_15_mr5_freq25,30,0.8985,0.0534,0.2361,0.0348
wine,demes_15_mr5_freq5,30,0.9104,0.0464,0.1827,0.0353
wine,demes_5_mr10_freq1,30,0.9141,0.0447,0.0745,0.041
wine,demes_5_mr10_freq10,30,0.9089,0.0485,0.1134,0.0569
wine,demes_5_mr10_freq25,30,0.9015,0.0506,0.1333,0.0363
wine,demes_5_mr10_freq5,30,0.9259,0.0438,0.0872,0.0536
wine,demes_5_mr15_freq1,30,0.9104,0.0387,0.044,0.0219
wine,demes_5_mr15_freq10,30,0.9119,0.0584,0.0776,0.0377
wine,demes_5_mr15_freq25,30,0.9007,0.0534,0.0998,0.0313
wine,demes_5_mr15_freq5,30,0.9222,0.044,0.0626,0.04
wine,demes_5_mr2_freq1,30,0.9074,0.05,0.1268,0.0475
wine,demes_5_mr2_freq10,30,0.9111,0.0433,0.1809,0.0496
wine,demes_5_mr2_freq25,30,0.9081,0.0483,0.199,0.0419
wine,demes_5_mr2_freq5,30,0.92,0.0392,0.1636,0.0551
wine,demes_5_mr5_freq1,30,0.9104,0.0446,0.0989,0.0541
wine,demes_5_mr5_freq10,30,0.9178,0.0394,0.1571,0.0526
wine,demes_5_mr5_freq25,30,0.9074,0.0487,0.1663,0.0401
wine,demes_5_mr5_freq5,30,0.9156,0.0446,0.1285,0.0486
wine,tournament,30,0.9111,0.0523,0.1236,0.0357
iris,demes_10_mr10_freq1,30,0.9544,0.0296,0.0307,0.0242
iris,demes_10_mr10_freq10,30,0.9553,0.0312,0.0625,0.0247
iris,demes_10_mr10_freq25,30,0.9535,0.0278,0.0786,0.0221
iris,demes_10_mr10_freq5,30,0.9535,0.0324,0.0505,0.025
iris,demes_10_mr15_freq1,30,0.9526,0.0299,0.0273,0.0243
iris,demes_10_mr15_freq10,30,0.9526,0.0329,0.0427,0.0146
iris,demes_10_mr15_freq25,30,0.9526,0.0291,0.0602,0.016
iris,demes_10_mr15_freq5,30,0.9526,0.0314,0.0375,0.0188
iris,demes_10_mr2_freq1,30,0.9553,0.0297,0.0595,0.0298
iris,demes_10_mr2_freq10,30,0.957,0.0308,0.1002,0.0232
iris,demes_10_mr2_freq25,30,0.9553,0.0297,0.1226,0.0247
iris,demes_10_mr2_freq5,30,0.9526,0.0307,0.0948,0.0285
iris,demes_10_mr5_freq1,30,0.9561,0.0299,0.054,0.0287
iris,demes_10_mr5_freq10,30,0.9561,0.0283,0.0948,0.0222
iris,demes_10_mr5_freq25,30,0.95,0.0299,0.1033,0.0263
iris,demes_10_mr5_freq5,30,0.9544,0.0303,0.0781,0.0296
iris,demes_15_mr10_freq1,30,0.9544,0.028,0.0406,0.0212
iris,demes_15_mr10_freq10,30,0.9553,0.0312,0.0768,0.0211
iris,demes_15_mr10_freq25,30,0.9518,0.0289,0.0965,0.0208
iris,demes_15_mr10_freq5,30,0.9561,0.0306,0.0665,0.0218
iris,demes_15_mr15_freq1,30,0.9579,0.0277,0.0312,0.0205
iris,demes_15_mr15_freq10,30,0.9544,0.028,0.0588,0.0196
iris,demes_15_mr15_freq25,30,0.9535,0.0309,0.0788,0.0176
iris,demes_15_mr15_freq5,30,0.9509,0.0302,0.0489,0.0213
iris,demes_15_mr2_freq1,30,0.9544,0.0296,0.0713,0.0416
iris,demes_15_mr2_freq10,30,0.9518,0.0333,0.1077,0.0266
iris,demes_15_mr2_freq25,30,0.9526,0.0299,0.1204,0.0168
iris,demes_15_mr2_freq5,30,0.9518,0.0326,0.0911,0.0232
iris,demes_15_mr5_freq1,30,0.9553,0.0297,0.0513,0.0224
iris,demes_15_mr5_freq10,30,0.9509,0.0338,0.0925,0.0192
iris,demes_15_mr5_freq25,30,0.9535,0.0301,0.1125,0.0237
iris,demes_15_mr5_freq5,30,0.9535,0.0309,0.0822,0.0251
iris,demes_5_mr10_freq1,30,0.9509,0.0278,0.0301,0.0303
iris,demes_5_mr10_freq10,30,0.957,0.0292,0.0467,0.0186
iris,demes_5_mr10_freq25,30,0.9544,0.0311,0.0549,0.0234
iris,demes_5_mr10_freq5,30,0.9544,0.0303,0.036,0.0231
iris,demes_5_mr15_freq1,30,0.9579,0.0277,0.0241,0.0229
iris,demes_5_mr15_freq10,30,0.9553,0.0281,0.0291,0.0195
iris,demes_5_mr15_freq25,30,0.9553,0.0289,0.0443,0.0193
iris,demes_5_mr15_freq5,30,0.9561,0.0314,0.0265,0.0183
iris,demes_5_mr2_freq1,30,0.9526,0.0336,0.0499,0.0282
iris,demes_5_mr2_freq10,30,0.9588,0.0301,0.0795,0.0296
iris,demes_5_mr2_freq25,30,0.9579,0.0301,0.0903,0.0237
iris,demes_5_mr2_freq5,30,0.9561,0.0291,0.0655,0.0245
iris,demes_5_mr5_freq1,30,0.9544,0.0325,0.0472,0.0283
iris,demes_5_mr5_freq10,30,0.9561,0.0328,0.0615,0.0234
iris,demes_5_mr5_freq25,30,0.9553,0.0289,0.0757,0.0233
iris,demes_5_mr5_freq5,30,0.9561,0.0291,0.0509,0.023
iris,tournament,30,0.9553,0.0305,0.0622,0.0252
australian,demes_10_mr10_freq1,30,0.8581,0.0199,0.0623,0.0609
australian,demes_10_mr10_freq10,30,0.8562,0.0219,0.0677,0.0463
australian,demes_10_mr10_freq25,30,0.8545,0.0211,0.0837,0.0365
australian,demes_10_mr10_freq5,30,0.8558,0.0231,0.0719,0.0579
australian,demes_10_mr15_freq1,30,0.8554,0.0198,0.0402,0.0507
australian,demes_10_mr15_freq10,30,0.8578,0.0203,0.0567,0.0465
australian,demes_10_mr15_freq25,30,0.8585,0.021,0.0663,0.0332
australian,demes_10_mr15_freq5,30,0.855,0.0206,0.0485,0.0462
australian,demes_10_mr2_freq1,30,0.8556,0.0214,0.1256,0.0864
australian,demes_10_mr2_freq10,30,0.8562,0.0213,0.1067,0.0535
australian,demes_10_mr2_freq25,30,0.8583,0.025,0.1179,0.0363
australian,demes_10_mr2_freq5,30,0.8533,0.0232,0.1127,0.0718
australian,demes_10_mr5_freq1,30,0.8552,0.0223,0.0889,0.0594
australian,demes_10_mr5_freq10,30,0.8562,0.0223,0.0919,0.0538
australian,demes_10_mr5_freq25,30,0.8558,0.023,0.1059,0.0416
australian,demes_10_mr5_freq5,30,0.8556,0.0226,0.1257,0.0826
australian,demes_15_mr10_freq1,30,0.8562,0.0205,0.0947,0.0883
