dataset,config,mean_acc_deme,mean_acc_tourn,acc_diff,W_acc,p_acc,sig_acc,mean_bd_deme,mean_bd_tourn,bd_diff,W_bd,p_bd,sig_bd
wine,demes_10_mr10_freq1,0.9156,0.9111,0.0044,111.5,0.6255,=,0.0921,0.1236,-0.0315,93.0,0.0041,-
wine,demes_10_mr10_freq10,0.9044,0.9111,-0.0067,133.0,0.2791,=,0.1661,0.1236,0.0425,62.5,0.0005,+
wine,demes_10_mr10_freq25,0.9222,0.9111,0.0111,91.5,0.4019,=,0.1645,0.1236,0.0409,54.5,0.0003,+
wine,demes_10_mr10_freq5,0.9207,0.9111,0.0096,181.5,0.624,=,0.1375,0.1236,0.0139,133.5,0.1135,=
wine,demes_10_mr15_freq1,0.9244,0.9111,0.0133,130.5,0.1583,=,0.0698,0.1236,-0.0538,37.5,0.0001,-
wine,demes_10_mr15_freq10,0.9037,0.9111,-0.0074,139.0,0.3528,=,0.1177,0.1236,-0.0059,161.5,0.1442,=
wine,demes_10_mr15_freq25,0.9067,0.9111,-0.0044,155.0,0.8394,=,0.14,0.1236,0.0164,120.0,0.035,+
wine,demes_10_mr15_freq5,0.9156,0.9111,0.0044,154.0,0.8187,=,0.1,0.1236,-0.0236,116.0,0.0166,-
wine,demes_10_mr2_freq1,0.9119,0.9111,0.0007,130.5,0.8182,=,0.1253,0.1236,0.0017,227.0,0.9099,=
wine,demes_10_mr2_freq10,0.9133,0.9111,0.0022,132.5,0.867,=,0.233,0.1236,0.1094,0.0,0.0,+
wine,demes_10_mr2_freq25,0.9119,0.9111,0.0007,178.0,0.791,=,0.2366,0.1236,0.113,0.0,0.0,+
wine,demes_10_mr2_freq5,0.9022,0.9111,-0.0089,128.0,0.5291,=,0.2163,0.1236,0.0927,0.0,0.0,+
wine,demes_10_mr5_freq1,0.9215,0.9111,0.0104,114.5,0.3092,=,0.135,0.1236,0.0114,191.5,0.399,=
wine,demes_10_mr5_freq10,0.9133,0.9111,0.0022,155.0,0.6015,=,0.2103,0.1236,0.0867,11.0,0.0,+
wine,demes_10_mr5_freq25,0.9104,0.9111,-0.0007,118.0,0.7822,=,0.2171,0.1236,0.0935,6.0,0.0,+
wine,demes_10_mr5_freq5,0.9215,0.9111,0.0104,124.5,0.3057,=,0.2016,0.1236,0.078,16.5,0.0,+
wine,demes_15_mr10_freq1,0.92,0.9111,0.0089,113.0,0.2886,=,0.1109,0.1236,-0.0127,181.0,0.2895,=
wine,demes_15_mr10_freq10,0.9015,0.9111,-0.0096,139.0,0.3533,=,0.1755,0.1236,0.0519,41.5,0.0001,+
wine,demes_15_mr10_freq25,0.9037,0.9111,-0.0074,143.0,0.408,=,0.213,0.1236,0.0894,9.0,0.0,+
