gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.39700014011181284	10	0.98	nan	nan
1	392	0.3841688818363926	10	0.864	nan	nan
2	392	0.3646733212132633	15	0.764	nan	nan
3	414	0.3566123195060963	16	0.692	nan	nan
4	401	0.3289427652382384	10	0.622	nan	nan
5	415	0.3289427652382384	10	0.592	nan	nan
6	394	0.32613994374498706	5	0.548	nan	nan
7	395	0.3210271286119715	12	0.508	nan	nan
8	398	0.3187362196597485	11	0.538	nan	nan
9	404	0.3175838241674552	17	0.498	nan	nan
10	419	0.31746772087836395	10	0.442	nan	nan
11	383	0.30999902422583253	14	0.408	nan	nan
12	398	0.3079182474097908	15	0.378	nan	nan
13	404	0.2982499407747256	20	0.342	nan	nan
14	415	0.2924874750017034	20	0.31	nan	nan
15	419	0.2920827992263993	23	0.334	nan	nan
16	396	0.28985289821364874	20	0.302	nan	nan
17	398	0.2892745999956737	18	0.256	nan	nan
18	403	0.28897855219770147	20	0.242	nan	nan
19	400	0.2888654232920825	25	0.204	nan	nan
20	404	0.28644416478069196	23	0.22	nan	nan
21	396	0.28488641191488284	21	0.248	nan	nan
22	404	0.284081561985845	28	0.268	nan	nan
23	408	0.28393203784780063	29	0.228	nan	nan
24	403	0.28393203784780063	29	0.224	nan	nan
25	396	0.28180514005998725	26	0.22	nan	nan
26	421	0.28180514005998725	26	0.21	nan	nan
27	398	0.28162447365254256	32	0.214	nan	nan
28	406	0.28109854222804675	37	0.212	nan	nan
29	410	0.28109854222804675	37	0.188	nan	nan
30	399	0.28109854222804675	37	0.178	nan	nan
31	391	0.2795884839720926	37	0.148	nan	nan
32	393	0.27666550419750324	37	0.148	nan	nan
33	413	0.27666550419750324	37	0.148	nan	nan
34	402	0.27401301050787336	32	0.196	nan	nan
35	396	0.27401301050787336	32	0.206	nan	nan
36	419	0.2737757632577588	51	0.172	nan	nan
37	412	0.27318620050253634	39	0.222	nan	nan
38	414	0.2691665793487324	39	0.22	nan	nan
39	421	0.2691665793487324	39	0.228	nan	nan
40	404	0.2691665793487324	39	0.206	nan	nan
41	401	0.2681202129177965	60	0.164	nan	nan
42	412	0.2677486856466377	66	0.184	nan	nan
43	402	0.26770933552332404	54	0.16	nan	nan
44	412	0.26738293340468455	51	0.148	nan	nan
45	404	0.26738293340468455	51	0.15	nan	nan
46	411	0.26738293340468455	51	0.126	nan	nan
47	399	0.2670301209154503	63	0.102	nan	nan
48	408	0.2670301209154503	63	0.124	nan	nan
49	415	0.2651233679494352	51	0.154	nan	nan
50	411	0.2651233679494352	51	0.158	0.9111111111111111	WTA3(WA(OWA(WA(OWA(complement(maximum(maximum(maximum(IN36, IN18), maximum(IN0, OWA(IN0, IN11, '0.9'))), IN33)), IN38, '0.9'), IN2, '0.9'), IN38, '0.9'), OWA(complement(maximum(maximum(maximum(IN36, IN18), maximum(IN11, IN0)), IN33)), IN38, '0.9'), '0.9'), OWA(IN27, OWA(IN0, maximum(IN11, OWA(IN0, IN36, '0.9')), '0.9'), '0.9'), IN33)
