gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4326555915926374	49	0.788	nan	nan
1	370	0.4326555915926374	49	0.62	nan	nan
2	390	0.3822723222399344	48	0.552	nan	nan
3	411	0.3664726552746163	46	0.476	nan	nan
4	399	0.36568779621106406	64	0.34	nan	nan
5	401	0.35497695545718577	44	0.276	nan	nan
6	408	0.35187741002644324	36	0.252	nan	nan
7	416	0.34442153355590666	36	0.226	nan	nan
8	388	0.33708754799875174	34	0.166	nan	nan
9	406	0.33708754799875174	34	0.194	nan	nan
10	368	0.3331799087810499	42	0.136	nan	nan
11	436	0.3331799087810499	42	0.154	nan	nan
12	392	0.3316568381579363	54	0.144	nan	nan
13	395	0.3316568381579363	54	0.126	nan	nan
14	406	0.3301815108747401	52	0.134	nan	nan
15	389	0.3301815108747401	52	0.116	nan	nan
16	383	0.3295250696001576	45	0.094	nan	nan
17	407	0.3281989107295317	48	0.09	nan	nan
18	376	0.32764768674344175	48	0.076	nan	nan
19	390	0.32654308012112504	47	0.058	nan	nan
20	400	0.32429092956921385	62	0.06	nan	nan
21	403	0.3240100673255378	62	0.064	nan	nan
22	410	0.3232678218396452	102	0.05	nan	nan
23	395	0.3228954931230377	62	0.05	nan	nan
24	388	0.32283285048352534	82	0.04	nan	nan
25	383	0.32226116627283485	64	0.04	nan	nan
26	407	0.3205679910524946	84	0.048	nan	nan
27	386	0.3205359700554395	81	0.052	nan	nan
28	384	0.3199473965555809	111	0.028	nan	nan
29	392	0.3193077273899762	111	0.046	nan	nan
30	391	0.3191938854076775	118	0.036	nan	nan
31	394	0.31762457592353305	111	0.036	nan	nan
32	394	0.31751013045460835	116	0.028	nan	nan
33	385	0.31717489794180753	126	0.034	nan	nan
34	405	0.31620318426544164	115	0.034	nan	nan
35	385	0.31606289513391883	115	0.032	nan	nan
36	388	0.31598313459876726	117	0.03	nan	nan
37	387	0.31590541957994145	115	0.034	nan	nan
38	403	0.3157770077293213	116	0.042	nan	nan
39	396	0.31572155794267	117	0.05	nan	nan
40	403	0.3154168180640877	130	0.034	nan	nan
41	405	0.31517737820705255	129	0.046	nan	nan
42	408	0.31511083559000463	140	0.038	nan	nan
43	404	0.31510356204439244	145	0.038	nan	nan
44	376	0.31494752497031225	119	0.032	nan	nan
45	401	0.31473847927200316	118	0.036	nan	nan
46	387	0.31473847927200316	118	0.036	nan	nan
47	380	0.3147008858024583	158	0.042	nan	nan
48	402	0.31467332280337323	109	0.046	nan	nan
49	387	0.3146381757533794	127	0.04	nan	nan
50	396	0.3145766060185464	145	0.038	0.8670520231213873	WTA(WA(IN21, OWA(OWA(WA(IN24, IN8, '0.9'), concentrator(IN21), extend('0.9')), WA(complement(IN14), maximum(IN38, WA(IN21, OWA(OWA(WA(IN12, complement(IN14), extend('0.7')), concentrator(IN12), extend('0.7')), complement(IN14), extend('0.7')), extend('0.6'))), extend('0.4')), '0.3'), extend(extend('0.3'))), complement(WA(IN21, OWA(OWA(WA(IN24, IN8, '0.9'), concentrator(IN21), extend('0.9')), WA(WA(OWA(OWA(OWA(WA(IN24, IN8, '0.9'), concentrator(IN21), extend('0.9')), WA(complement(IN14), maximum(IN38, WA(IN21, OWA(OWA(WA(IN12, IN8, extend('0.7')), concentrator(IN12), extend('0.7')), complement(IN14), extend('0.7')), extend('0.6'))), extend('0.4')), '0.3'), complement(IN14), extend('0.7')), maximum(concentrator(IN21), WA(complement(IN14), IN8, '0.9')), extend('0.7')), maximum(IN8, WA(IN21, OWA(OWA(OWA(WA(IN12, IN8, '0.9'), concentrator(IN12), extend('0.7')), complement(IN11), extend('0.6')), complement(IN14), extend('0.4')), extend(extend('0.3')))), extend(extend('0.4'))), '0.3'), extend(extend(extend('0.3'))))))
