gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4228463139397237	15	0.79	nan	nan
1	409	0.42168447323915836	8	0.822	nan	nan
2	418	0.3610975734350529	15	0.754	nan	nan
3	409	0.3513416269326437	9	0.584	nan	nan
4	408	0.3513416269326437	9	0.356	nan	nan
5	398	0.3513416269326437	9	0.238	nan	nan
6	405	0.3438728850091083	19	0.18	nan	nan
7	398	0.3438728850091083	19	0.178	nan	nan
8	396	0.3431601744644785	18	0.178	nan	nan
9	403	0.334305189793782	27	0.158	nan	nan
10	401	0.33427897674273327	30	0.13	nan	nan
11	401	0.33136915401211287	27	0.09	nan	nan
12	410	0.33134097159635106	25	0.106	nan	nan
13	406	0.3312916793851795	27	0.076	nan	nan
14	422	0.33043673811072233	31	0.056	nan	nan
15	392	0.33043673811072233	31	0.05	nan	nan
16	404	0.3300399905850352	31	0.036	nan	nan
17	419	0.3300399905850352	31	0.054	nan	nan
18	402	0.32965473948296053	41	0.05	nan	nan
19	417	0.32919378918027004	38	0.06	nan	nan
20	408	0.32879554182953896	57	0.06	nan	nan
21	408	0.3285692681590336	47	0.066	nan	nan
22	411	0.32826609841266735	37	0.078	nan	nan
23	401	0.32817026292868	47	0.082	nan	nan
24	430	0.32788411260259054	43	0.066	nan	nan
25	419	0.32786672423286733	39	0.07	nan	nan
26	413	0.327506236774812	38	0.084	nan	nan
27	401	0.32749757703574284	41	0.056	nan	nan
28	402	0.32749757703574284	41	0.07	nan	nan
29	417	0.3274718121237009	45	0.064	nan	nan
30	402	0.3273280499293861	44	0.074	nan	nan
31	407	0.3273280499293861	44	0.076	nan	nan
32	397	0.32722568888184617	44	0.054	nan	nan
33	415	0.3269628670289045	55	0.062	nan	nan
34	425	0.3269628670289045	55	0.048	nan	nan
35	402	0.326860571930543	55	0.058	nan	nan
36	417	0.32682626732038533	77	0.046	nan	nan
37	413	0.32657219722011527	73	0.072	nan	nan
38	403	0.3264638049917171	51	0.062	nan	nan
39	409	0.3258999978781162	61	0.07	nan	nan
40	410	0.3256213826343231	77	0.074	nan	nan
41	431	0.3256213826343231	77	0.08	nan	nan
42	422	0.32543829623578435	65	0.078	nan	nan
43	426	0.32542419063922146	104	0.082	nan	nan
44	387	0.32542419063922146	104	0.056	nan	nan
45	387	0.3252832153532025	63	0.074	nan	nan
46	403	0.3252409932363296	82	0.064	nan	nan
47	411	0.32515413089440665	69	0.09	nan	nan
48	399	0.3250797920085582	112	0.094	nan	nan
49	435	0.3249305764424794	70	0.086	nan	nan
50	411	0.32491300037743487	72	0.094	0.8728323699421965	WTA(dilator(concentrator(maximum(maximum(concentrator(WA(IN21, IN36, '0.8')), OWA(OWA(IN27, IN24, '0.3'), concentrator(concentrator(WA(OWA(IN27, IN24, '0.3'), complement(maximum(concentrator(WA(IN21, IN36, '0.8')), IN36)), '0.3'))), '0.4')), OWA(concentrator(WA(IN21, IN36, '0.8')), IN21, '0.3')))), complement(maximum(concentrator(WA(IN21, IN36, '0.8')), OWA(OWA(IN27, IN24, '0.3'), concentrator(concentrator(WA(OWA(IN27, IN24, '0.3'), complement(maximum(concentrator(WA(IN21, IN36, '0.8')), maximum(concentrator(IN14), IN36))), '0.3'))), '0.4'))))
