gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.0827227788233473	18	0.826	nan	nan
1	389	0.0827227788233473	18	0.664	nan	nan
2	402	0.018166811285266937	19	0.546	nan	nan
3	388	0.0007107408501670078	17	0.462	nan	nan
4	407	0.0	5	0.296	nan	nan
5	399	0.0	5	0.244	nan	nan
6	376	0.0	5	0.154	nan	nan
7	416	0.0	5	0.096	nan	nan
8	393	0.0	5	0.062	nan	nan
9	390	0.0	5	0.038	nan	nan
10	379	0.0	5	0.032	nan	nan
11	402	0.0	5	0.036	nan	nan
12	380	0.0	5	0.018	nan	nan
13	400	0.0	5	0.026	nan	nan
14	394	0.0	5	0.024	nan	nan
15	384	0.0	5	0.02	nan	nan
16	380	0.0	5	0.022	nan	nan
17	381	0.0	5	0.028	nan	nan
18	390	0.0	5	0.018	nan	nan
19	382	0.0	5	0.018	nan	nan
20	400	0.0	5	0.014	nan	nan
21	398	0.0	5	0.024	nan	nan
22	393	0.0	5	0.014	nan	nan
23	372	0.0	5	0.014	nan	nan
24	382	0.0	5	0.02	nan	nan
25	407	0.0	5	0.02	nan	nan
26	388	0.0	5	0.018	nan	nan
27	387	0.0	5	0.018	nan	nan
28	392	0.0	5	0.024	nan	nan
29	382	0.0	5	0.018	nan	nan
30	368	0.0	5	0.014	nan	nan
31	381	0.0	5	0.018	nan	nan
32	386	0.0	5	0.02	nan	nan
33	387	0.0	5	0.022	nan	nan
34	400	0.0	5	0.012	nan	nan
35	390	0.0	5	0.012	nan	nan
36	378	0.0	5	0.014	nan	nan
37	379	0.0	5	0.022	nan	nan
38	391	0.0	5	0.018	nan	nan
39	392	0.0	5	0.014	nan	nan
40	401	0.0	5	0.008	nan	nan
41	371	0.0	5	0.016	nan	nan
42	390	0.0	5	0.02	nan	nan
43	394	0.0	5	0.008	nan	nan
44	399	0.0	5	0.024	nan	nan
45	393	0.0	5	0.016	nan	nan
46	359	0.0	5	0.012	nan	nan
47	398	0.0	5	0.016	nan	nan
48	380	0.0	5	0.01	nan	nan
49	408	0.0	5	0.012	nan	nan
50	376	0.0	5	0.008	1.0	WTA(complement(IN25), complement(IN25))
