gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.1196135380256113	31	0.792	nan	nan
1	399	0.0	9	0.738	nan	nan
2	411	0.0	9	0.582	nan	nan
3	395	0.0	9	0.352	nan	nan
4	421	0.0	9	0.26	nan	nan
5	417	0.0	9	0.186	nan	nan
6	399	0.0	9	0.112	nan	nan
7	388	0.0	9	0.07	nan	nan
8	415	0.0	9	0.05	nan	nan
9	403	0.0	9	0.056	nan	nan
10	389	0.0	9	0.056	nan	nan
11	389	0.0	9	0.048	nan	nan
12	391	0.0	9	0.054	nan	nan
13	386	0.0	9	0.048	nan	nan
14	404	0.0	9	0.054	nan	nan
15	411	0.0	9	0.034	nan	nan
16	382	0.0	9	0.052	nan	nan
17	406	0.0	9	0.032	nan	nan
18	407	0.0	9	0.038	nan	nan
19	405	0.0	9	0.034	nan	nan
20	399	0.0	9	0.044	nan	nan
21	396	0.0	9	0.034	nan	nan
22	406	0.0	9	0.036	nan	nan
23	410	0.0	9	0.026	nan	nan
24	407	0.0	9	0.036	nan	nan
25	412	0.0	9	0.028	nan	nan
26	400	0.0	9	0.038	nan	nan
27	394	0.0	9	0.032	nan	nan
28	403	0.0	9	0.028	nan	nan
29	386	0.0	9	0.032	nan	nan
30	434	0.0	9	0.038	nan	nan
31	430	0.0	9	0.034	nan	nan
32	416	0.0	9	0.03	nan	nan
33	375	0.0	9	0.034	nan	nan
34	418	0.0	9	0.02	nan	nan
35	410	0.0	9	0.032	nan	nan
36	403	0.0	9	0.022	nan	nan
37	418	0.0	9	0.022	nan	nan
38	402	0.0	9	0.032	nan	nan
39	404	0.0	9	0.024	nan	nan
40	385	0.0	9	0.022	nan	nan
41	395	0.0	9	0.02	nan	nan
42	418	0.0	9	0.024	nan	nan
43	390	0.0	9	0.034	nan	nan
44	421	0.0	9	0.036	nan	nan
45	408	0.0	9	0.022	nan	nan
46	409	0.0	9	0.032	nan	nan
47	410	0.0	9	0.034	nan	nan
48	401	0.0	9	0.03	nan	nan
49	416	0.0	9	0.034	nan	nan
50	406	0.0	9	0.018	1.0	WTA(minimum(complement(IN16), dilator(complement(IN16))), complement(IN4))
