gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.35582165358895357	8	0.962	nan	nan
1	401	0.2920401890378796	14	0.702	nan	nan
2	400	0.2223393277762726	6	0.578	nan	nan
3	386	0.21333600380127252	5	0.428	nan	nan
4	387	0.21303952214404293	5	0.308	nan	nan
5	396	0.21077458269217375	10	0.276	nan	nan
6	394	0.1984696873904393	6	0.27	nan	nan
7	372	0.1984696873904393	6	0.2	nan	nan
8	386	0.1984696873904393	6	0.198	nan	nan
9	395	0.19268262848095757	6	0.186	nan	nan
10	404	0.19268262848095757	6	0.188	nan	nan
11	403	0.19268262848095757	6	0.216	nan	nan
12	406	0.19156533195496872	14	0.208	nan	nan
13	403	0.19156533195496872	14	0.17	nan	nan
14	416	0.19140578432489289	11	0.138	nan	nan
15	380	0.19140578432489289	11	0.128	nan	nan
16	401	0.19140578432489289	11	0.114	nan	nan
17	380	0.19140578432489289	11	0.11	nan	nan
18	387	0.19140578432489289	11	0.096	nan	nan
19	391	0.19140578432489289	11	0.104	nan	nan
20	394	0.19140578432489289	11	0.092	nan	nan
21	408	0.19140578432489289	11	0.08	nan	nan
22	394	0.19140578432489289	11	0.072	nan	nan
23	421	0.19140578432489289	11	0.07	nan	nan
24	385	0.19140578432489289	11	0.066	nan	nan
25	414	0.1914042550592946	18	0.06	nan	nan
26	383	0.190899073829382	12	0.048	nan	nan
27	397	0.190899073829382	12	0.058	nan	nan
28	389	0.1908551847283189	15	0.064	nan	nan
29	402	0.1908551847283189	15	0.068	nan	nan
30	409	0.19084871493906533	15	0.056	nan	nan
31	409	0.19084871493906533	15	0.054	nan	nan
32	386	0.18847635673727986	17	0.044	nan	nan
33	369	0.18847635673727986	17	0.06	nan	nan
34	373	0.18835120664249014	17	0.048	nan	nan
35	409	0.1883447790246895	18	0.054	nan	nan
36	397	0.1883447790246895	18	0.048	nan	nan
37	403	0.1883447790246895	18	0.044	nan	nan
38	383	0.1883447790246895	18	0.062	nan	nan
39	389	0.1877867632947976	15	0.066	nan	nan
40	399	0.18758412391151655	15	0.04	nan	nan
41	386	0.18758412391151655	15	0.054	nan	nan
42	397	0.1875751917855988	15	0.068	nan	nan
43	388	0.1875751917855988	15	0.046	nan	nan
44	406	0.1875751917855988	15	0.056	nan	nan
45	394	0.1875751917855988	15	0.076	nan	nan
46	412	0.1875751917855988	15	0.068	nan	nan
47	398	0.1875751917855988	15	0.072	nan	nan
48	397	0.1875657296432953	25	0.074	nan	nan
49	400	0.18756092598282773	25	0.066	nan	nan
50	396	0.18755673422844807	32	0.082	0.9473684210526315	WTA3(WA(WA(IN6, WA(dilator(IN6), IN9, '0.6'), '0.5'), WA(WA(IN6, WA(dilator(IN6), IN9, '0.6'), '0.2'), WA(dilator(IN6), IN9, '0.5'), '0.2'), '0.5'), concentrator(IN10), maximum(IN8, dilator(IN11)))
