gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.46812288520886175	39	0.916	nan	nan
1	411	0.463485038361739	7	0.742	nan	nan
2	390	0.4300168507764505	13	0.682	nan	nan
3	390	0.4300168507764505	13	0.61	nan	nan
4	391	0.4275122998408172	16	0.57	nan	nan
5	386	0.42647665218594105	23	0.498	nan	nan
6	399	0.42435407572874534	14	0.438	nan	nan
7	384	0.42435407572874534	14	0.392	nan	nan
8	394	0.4223206825664218	15	0.342	nan	nan
9	403	0.42162254401523874	25	0.342	nan	nan
10	391	0.41867962892477406	14	0.352	nan	nan
11	392	0.41867962892477406	14	0.326	nan	nan
12	396	0.41798341324333044	16	0.348	nan	nan
13	382	0.4176728463269925	35	0.308	nan	nan
14	396	0.4170128112578329	19	0.328	nan	nan
15	396	0.41699961459137597	25	0.352	nan	nan
16	408	0.41601313614624724	20	0.332	nan	nan
17	399	0.4145888569191917	34	0.342	nan	nan
18	388	0.41439784482767034	48	0.33	nan	nan
19	376	0.41232084984542927	22	0.372	nan	nan
20	396	0.41232084984542927	22	0.382	nan	nan
21	420	0.41084808645179766	21	0.404	nan	nan
22	395	0.4107423050128011	21	0.35	nan	nan
23	394	0.4092638611593696	20	0.344	nan	nan
24	399	0.40915767014343124	26	0.292	nan	nan
25	393	0.40915767014343124	26	0.296	nan	nan
26	398	0.40915767014343124	26	0.308	nan	nan
27	408	0.4088172422976191	25	0.28	nan	nan
28	375	0.4088172422976191	25	0.254	nan	nan
29	368	0.4088172422976191	25	0.254	nan	nan
30	394	0.40838242975757844	29	0.252	nan	nan
31	391	0.40838242975757844	29	0.248	nan	nan
32	417	0.40838242975757844	29	0.254	nan	nan
33	390	0.4081059715549425	52	0.212	nan	nan
34	394	0.4081059715549425	52	0.24	nan	nan
35	406	0.4081059715549425	52	0.238	nan	nan
36	411	0.4080129720731209	80	0.28	nan	nan
37	391	0.40757484688397355	29	0.242	nan	nan
38	393	0.40757484688397355	29	0.292	nan	nan
39	420	0.40749392813999574	67	0.344	nan	nan
40	389	0.406705690720022	90	0.316	nan	nan
41	391	0.40667116379518414	34	0.328	nan	nan
42	391	0.40622966709192737	89	0.318	nan	nan
43	383	0.40622966709192737	89	0.292	nan	nan
44	387	0.4061915810119582	83	0.27	nan	nan
45	389	0.40619149808414384	70	0.224	nan	nan
46	391	0.4061222782689839	79	0.242	nan	nan
47	394	0.40611927494392874	110	0.256	nan	nan
48	393	0.40571631508547906	35	0.232	nan	nan
49	404	0.40571631508547906	35	0.3	nan	nan
50	389	0.40529949599859555	133	0.252	0.7395833333333334	WTA(OWA(complement(maximum(OWA(maximum(OWA(maximum(maximum(IN5, WA(IN1, complement(complement(complement(complement(IN5)))), extend('0.8'))), WA(IN5, complement(complement(complement(complement(maximum(OWA(IN5, IN1, '0.1'), IN5))))), extend('0.8'))), maximum(OWA(maximum(OWA(IN5, IN19, '0.1'), IN5), IN19, '0.1'), IN17), '0.1'), WA(IN1, complement(complement(IN1)), extend('0.1'))), maximum(IN5, IN17), '0.1'), IN5)), dilator(IN15), '0.8'), complement(OWA(complement(maximum(maximum(OWA(maximum(OWA(maximum(maximum(IN5, WA(IN1, complement(complement(complement(complement(IN5)))), extend('0.8'))), WA(IN5, complement(complement(complement(complement(maximum(OWA(IN5, IN1, '0.1'), IN5))))), extend('0.8'))), maximum(OWA(maximum(OWA(IN5, IN19, '0.1'), IN5), IN19, '0.1'), IN17), '0.1'), WA(IN1, complement(complement(IN1)), extend('0.1'))), maximum(IN5, IN17), '0.1'), IN5), WA(IN1, complement(complement(complement(complement(IN5)))), extend('0.1')))), dilator(OWA(IN15, IN15, '0.1')), '0.8')))
