gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4419230288908366	5	0.938	nan	nan
1	429	0.4288239796637053	5	0.854	nan	nan
2	405	0.42645107649331576	6	0.838	nan	nan
3	394	0.42645107649331576	6	0.742	nan	nan
4	414	0.421135491246727	8	0.644	nan	nan
5	384	0.421135491246727	8	0.444	nan	nan
6	373	0.41479537259769333	11	0.384	nan	nan
7	397	0.4130417925532197	13	0.408	nan	nan
8	403	0.4113626585948234	14	0.436	nan	nan
9	393	0.41010385936050137	13	0.468	nan	nan
10	384	0.4095570736280842	22	0.364	nan	nan
11	423	0.40858041656389277	20	0.4	nan	nan
12	388	0.40730195701725325	17	0.316	nan	nan
13	419	0.40721395466911586	20	0.288	nan	nan
14	404	0.40721395466911586	20	0.292	nan	nan
15	396	0.40699523451916597	25	0.342	nan	nan
16	418	0.4066400148443532	20	0.19	nan	nan
17	402	0.4066400148443532	20	0.154	nan	nan
18	440	0.4064486633923965	24	0.254	nan	nan
19	406	0.4060082019521833	28	0.314	nan	nan
20	410	0.4060082019521833	28	0.326	nan	nan
21	403	0.40594462832534733	27	0.284	nan	nan
22	385	0.40578532927645006	28	0.3	nan	nan
23	414	0.40555926540614784	49	0.31	nan	nan
24	401	0.40555926540614784	49	0.28	nan	nan
25	400	0.40555926540614784	49	0.29	nan	nan
26	402	0.40545887889632526	43	0.348	nan	nan
27	393	0.405336145884285	50	0.306	nan	nan
28	404	0.40488043890332653	49	0.314	nan	nan
29	417	0.40488043890332653	49	0.316	nan	nan
30	411	0.40488043890332653	49	0.36	nan	nan
31	414	0.40488043890332653	49	0.394	nan	nan
32	360	0.4048358099878098	49	0.354	nan	nan
33	398	0.4046395013424456	43	0.294	nan	nan
34	426	0.4046395013424456	43	0.324	nan	nan
35	413	0.4046395013424456	43	0.34	nan	nan
36	414	0.4044790248490851	50	0.36	nan	nan
37	425	0.4044790248490851	50	0.366	nan	nan
38	410	0.4044735001774183	53	0.444	nan	nan
39	421	0.40438472299161565	50	0.426	nan	nan
40	407	0.40422330140982443	53	0.458	nan	nan
41	397	0.40422330140982443	53	0.454	nan	nan
42	397	0.40406142352119545	49	0.448	nan	nan
43	377	0.40390386357637875	94	0.458	nan	nan
44	396	0.4039006360582188	87	0.444	nan	nan
45	415	0.4038542373392416	81	0.452	nan	nan
46	402	0.403836737774092	70	0.39	nan	nan
47	405	0.4033321497950969	82	0.358	nan	nan
48	415	0.40328843409841825	95	0.444	nan	nan
49	416	0.4032394990575085	116	0.446	nan	nan
50	412	0.40317276887161835	113	0.44	0.7708333333333334	WTA(complement(OWA(OWA(WA(dilator(IN19), OWA(IN22, OWA(WA(dilator(IN22), WA(OWA(OWA(OWA(IN22, IN5, '0.7'), IN5, '0.7'), IN5, '0.7'), IN19, '0.7'), '0.3'), IN6, '0.9'), '0.7'), '0.3'), IN5, '0.6'), OWA(OWA(OWA(IN22, IN5, '0.7'), IN5, '0.7'), IN5, '0.7'), '0.7')), OWA(OWA(WA(IN19, OWA(WA(OWA(OWA(WA(dilator(IN22), WA(WA(IN19, OWA(IN5, IN5, '0.9'), '0.3'), IN19, '0.7'), '0.3'), IN5, '0.7'), IN5, extend('0.7')), dilator(IN22), '0.7'), IN5, '0.9'), '0.3'), IN5, '0.7'), OWA(OWA(OWA(WA(OWA(IN22, OWA(OWA(OWA(IN22, IN5, '0.7'), IN5, '0.7'), IN5, '0.9'), extend('0.7')), dilator(IN22), '0.7'), OWA(WA(IN6, IN5, '0.9'), IN5, '0.9'), '0.9'), IN5, '0.7'), IN5, '0.7'), '0.7'))
