dataset,config,n_runs,mean_acc,std_acc,mean_bd,std_bd
wine,demes_10_mr10,30,0.9156,0.0549,0.0921,0.0425
wine,demes_10_mr15,30,0.9244,0.0458,0.0698,0.0478
wine,demes_10_mr2,30,0.9119,0.0457,0.1253,0.0407
wine,demes_10_mr5,30,0.9215,0.0499,0.135,0.0548
wine,demes_15_mr10,30,0.92,0.0502,0.1109,0.0637
wine,demes_15_mr15,30,0.9193,0.0512,0.0871,0.0571
wine,demes_15_mr2,30,0.9237,0.0506,0.1545,0.0622
wine,demes_15_mr5,30,0.9074,0.0554,0.1318,0.0417
wine,demes_20_mr10,30,0.9111,0.0418,0.13,0.0484
wine,demes_20_mr15,30,0.9148,0.048,0.0827,0.0388
wine,demes_20_mr2,30,0.9096,0.0516,0.1675,0.0683
wine,demes_20_mr5,30,0.9096,0.0516,0.1675,0.0683
wine,demes_5_mr10,30,0.9141,0.0447,0.0745,0.041
wine,demes_5_mr15,30,0.9104,0.0387,0.044,0.0219
wine,demes_5_mr2,30,0.9074,0.05,0.1268,0.0475
wine,demes_5_mr5,30,0.9104,0.0446,0.0989,0.0541
wine,tournament,30,0.9111,0.0523,0.1236,0.0357
iris,demes_10_mr10,30,0.9544,0.0296,0.0307,0.0242
iris,demes_10_mr15,30,0.9526,0.0299,0.0273,0.0243
iris,demes_10_mr2,30,0.9553,0.0297,0.0595,0.0298
iris,demes_10_mr5,30,0.9561,0.0299,0.054,0.0287
iris,demes_15_mr10,30,0.9544,0.028,0.0406,0.0212
iris,demes_15_mr15,30,0.9579,0.0277,0.0312,0.0205
iris,demes_15_mr2,30,0.9544,0.0296,0.0713,0.0416
iris,demes_15_mr5,30,0.9553,0.0297,0.0513,0.0224
iris,demes_20_mr10,30,0.9553,0.0297,0.0484,0.027
iris,demes_20_mr15,30,0.9526,0.0322,0.024,0.0165
iris,demes_20_mr2,30,0.9553,0.0305,0.0672,0.0355
iris,demes_20_mr5,30,0.9553,0.0305,0.0672,0.0355
iris,demes_5_mr10,30,0.9509,0.0278,0.0301,0.0303
iris,demes_5_mr15,30,0.9579,0.0277,0.0241,0.0229
iris,demes_5_mr2,30,0.9526,0.0336,0.0499,0.0282
iris,demes_5_mr5,30,0.9544,0.0325,0.0472,0.0283
iris,tournament,30,0.9553,0.0305,0.0622,0.0252
australian,demes_10_mr10,30,0.8484,0.0231,0.0551,0.0468
australian,demes_10_mr15,30,0.8476,0.0257,0.0289,0.0353
australian,demes_10_mr2,30,0.8487,0.0246,0.0985,0.0868
australian,demes_10_mr5,30,0.8522,0.0245,0.069,0.0709
australian,demes_15_mr10,30,0.848,0.0237,0.0627,0.069
australian,demes_15_mr15,30,0.8507,0.0242,0.0555,0.0544
australian,demes_15_mr2,30,0.8476,0.0212,0.093,0.0814
australian,demes_15_mr5,30,0.8511,0.0236,0.0863,0.071
australian,demes_20_mr10,30,0.8476,0.0257,0.0671,0.0558
australian,demes_20_mr15,30,0.847,0.0239,0.0431,0.0506
australian,demes_20_mr2,30,0.8489,0.023,0.0943,0.0732
australian,demes_20_mr5,30,0.8489,0.023,0.0943,0.0732
australian,demes_5_mr10,30,0.8516,0.0239,0.0501,0.055
australian,demes_5_mr15,30,0.8499,0.0236,0.0346,0.0463
australian,demes_5_mr2,30,0.8491,0.0233,0.0713,0.0361
australian,demes_5_mr5,30,0.847,0.0236,0.0687,0.0618
australian,tournament,30,0.8497,0.0246,0.0953,0.0555
pima,demes_10_mr10,30,0.7552,0.0272,0.2245,0.1068
pima,demes_10_mr15,30,0.7533,0.0303,0.1835,0.0664
pima,demes_10_mr2,30,0.7521,0.0296,0.3247,0.1169
pima,demes_10_mr5,30,0.7536,0.032,0.2736,0.0998
pima,demes_15_mr10,30,0.7566,0.0259,0.2293,0.1054
pima,demes_15_mr15,30,0.7557,0.0313,0.2122,0.0868
pima,demes_15_mr2,30,0.7575,0.0301,0.3196,0.1148
pima,demes_15_mr5,30,0.7523,0.0289,0.2607,0.0943
pima,demes_20_mr10,30,0.7552,0.0288,0.2618,0.0807
pima,demes_20_mr15,30,0.7519,0.0296,0.1955,0.0641
pima,demes_20_mr2,30,0.7531,0.029,0.3443,0.0809
pima,demes_20_mr5,30,0.7531,0.029,0.3443,0.0809
pima,demes_5_mr10,30,0.7524,0.0282,0.1862,0.0848
pima,demes_5_mr15,30,0.7535,0.0319,0.1424,0.088
pima,demes_5_mr2,30,0.7559,0.0291,0.2664,0.121
pima,demes_5_mr5,30,0.7519,0.0287,0.2463,0.1243
pima,tournament,30,0.7542,0.0303,0.3083,0.1071
heart,demes_10_mr10,30,1.0,0.0,0.0063,0.004
heart,demes_10_mr15,30,1.0,0.0,0.0025,0.0014
heart,demes_10_mr2,30,1.0,0.0,0.0238,0.0076
heart,demes_10_mr5,30,1.0,0.0,0.0186,0.006
heart,demes_15_mr10,30,1.0,0.0,0.0091,0.0054
heart,demes_15_mr15,30,1.0,0.0,0.0041,0.0022
heart,demes_15_mr2,30,1.0,0.0,0.0215,0.0075
heart,demes_15_mr5,30,1.0,0.0,0.0153,0.0064
heart,demes_20_mr10,30,0.9995,0.0026,0.0135,0.0058
heart,demes_20_mr15,30,0.9995,0.0026,0.0059,0.0034
heart,demes_20_mr2,30,1.0,0.0,0.0181,0.006
heart,demes_20_mr5,30,1.0,0.0,0.0181,0.006
heart,demes_5_mr10,30,0.999,0.0053,0.0046,0.0046
heart,demes_5_mr15,30,0.9995,0.0026,0.0021,0.0004
heart,demes_5_mr5,30,0.9995,0.0026,0.0139,0.0082
heart,tournament,30,1.0,0.0,0.0258,0.009
