gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.38804414596620507	14	0.984	nan	nan
1	370	0.38804414596620507	14	0.65	nan	nan
2	397	0.3684646700954382	11	0.526	nan	nan
3	369	0.3529648271244176	5	0.43	nan	nan
4	370	0.35050533521409966	14	0.396	nan	nan
5	405	0.33877750599302786	4	0.358	nan	nan
6	380	0.33428212198058715	9	0.292	nan	nan
7	380	0.3313696800003261	13	0.302	nan	nan
8	387	0.33120855957555784	18	0.26	nan	nan
9	388	0.3224841170280209	14	0.244	nan	nan
10	411	0.3224841170280209	14	0.2	nan	nan
11	373	0.3132476994979191	9	0.17	nan	nan
12	397	0.3132476994979191	9	0.186	nan	nan
13	392	0.30551197515931455	9	0.204	nan	nan
14	406	0.29537594796593997	9	0.21	nan	nan
15	403	0.29537594796593997	9	0.168	nan	nan
16	399	0.29537594796593997	9	0.198	nan	nan
17	374	0.29537594796593997	9	0.18	nan	nan
18	368	0.2861407286993001	8	0.164	nan	nan
19	376	0.28453238321782165	9	0.14	nan	nan
20	368	0.2818182918731829	16	0.144	nan	nan
21	391	0.2818182918731829	16	0.146	nan	nan
22	383	0.2797851934072284	17	0.108	nan	nan
23	372	0.2797851934072284	17	0.124	nan	nan
24	385	0.27015370567535923	9	0.122	nan	nan
25	385	0.27015370567535923	9	0.156	nan	nan
26	400	0.2686899062927931	10	0.144	nan	nan
27	401	0.2686899062927931	10	0.156	nan	nan
28	400	0.2686899062927931	10	0.146	nan	nan
29	371	0.2682873078576855	18	0.146	nan	nan
30	403	0.267806748916769	30	0.134	nan	nan
31	391	0.2676475189560629	30	0.126	nan	nan
32	396	0.26740406867933975	20	0.098	nan	nan
33	370	0.2670661106690984	22	0.11	nan	nan
34	406	0.26673986127144356	31	0.102	nan	nan
35	377	0.26664321541302655	32	0.11	nan	nan
36	385	0.2642633245709975	10	0.106	nan	nan
37	381	0.2622061828035247	22	0.106	nan	nan
38	373	0.2593169069903254	18	0.096	nan	nan
39	399	0.25774294331205677	19	0.12	nan	nan
40	387	0.25774294331205677	19	0.102	nan	nan
41	379	0.25482261951138163	19	0.082	nan	nan
42	381	0.2546697990124284	24	0.062	nan	nan
43	399	0.25466600212274	27	0.096	nan	nan
44	408	0.2540726280791738	25	0.072	nan	nan
45	399	0.25330600698895056	29	0.09	nan	nan
46	402	0.25330600698895056	29	0.094	nan	nan
47	388	0.25270398701440333	34	0.09	nan	nan
48	400	0.24715875000610715	24	0.106	nan	nan
49	399	0.24705103497568842	27	0.102	nan	nan
50	377	0.24705103497568842	27	0.096	0.8666666666666667	WTA3(OWA(dilator(dilator(dilator(dilator(IN2)))), OWA(dilator(dilator(dilator(dilator(dilator(IN38))))), dilator(dilator(dilator(dilator(dilator(dilator(dilator(dilator(IN35)))))))), '0.7'), '0.1'), IN27, IN33)
