gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4181176898592603	12	0.988	nan	nan
1	397	0.4081468659097887	11	0.862	nan	nan
2	401	0.3453674447134409	11	0.8	nan	nan
3	404	0.3280632865118215	11	0.738	nan	nan
4	403	0.3280632865118215	11	0.72	nan	nan
5	414	0.3195559358955728	12	0.708	nan	nan
6	407	0.3072275570650181	5	0.68	nan	nan
7	416	0.29622851442206405	18	0.634	nan	nan
8	404	0.29555907826205685	12	0.594	nan	nan
9	422	0.2951936117824674	12	0.586	nan	nan
10	406	0.29454310397799055	12	0.51	nan	nan
11	406	0.2922418478713842	12	0.354	nan	nan
12	407	0.291881673458047	17	0.23	nan	nan
13	403	0.28909651749705406	12	0.322	nan	nan
14	392	0.28909651749705406	12	0.416	nan	nan
15	389	0.28909651749705406	12	0.412	nan	nan
16	427	0.28490544224913844	18	0.462	nan	nan
17	383	0.2816526302395865	19	0.468	nan	nan
18	394	0.2816526302395865	19	0.382	nan	nan
19	402	0.2816526302395865	19	0.394	nan	nan
20	409	0.28029969331832105	19	0.42	nan	nan
21	388	0.27930543074904574	21	0.392	nan	nan
22	409	0.2775461961255352	21	0.354	nan	nan
23	419	0.2766297435787684	23	0.324	nan	nan
24	422	0.2766297435787684	23	0.374	nan	nan
25	424	0.27639492644949015	25	0.406	nan	nan
26	421	0.27551369776290313	25	0.38	nan	nan
27	409	0.275491557535396	25	0.322	nan	nan
28	415	0.27547990787796256	25	0.276	nan	nan
29	418	0.2741255657870777	26	0.272	nan	nan
30	387	0.268956320334181	29	0.264	nan	nan
31	399	0.26888424163391694	33	0.266	nan	nan
32	404	0.26888424163391694	33	0.29	nan	nan
33	394	0.257498760020705	26	0.254	nan	nan
34	418	0.257498760020705	26	0.242	nan	nan
35	407	0.2546812373292246	32	0.23	nan	nan
36	391	0.2546812373292246	32	0.196	nan	nan
37	408	0.2546565346318913	27	0.24	nan	nan
38	400	0.25350416754862687	32	0.218	nan	nan
39	418	0.25350416754862687	32	0.146	nan	nan
40	391	0.25350416754862687	32	0.14	nan	nan
41	408	0.25349915086381863	33	0.148	nan	nan
42	406	0.2534966472543744	34	0.142	nan	nan
43	403	0.25319853417904936	44	0.13	nan	nan
44	423	0.2531910048068566	46	0.138	nan	nan
45	401	0.24966606264829902	35	0.122	nan	nan
46	412	0.24966606264829902	35	0.122	nan	nan
47	423	0.24966606264829902	35	0.15	nan	nan
48	411	0.24621146541524722	36	0.134	nan	nan
49	407	0.24621146541524722	36	0.152	nan	nan
50	401	0.24433594489815522	36	0.134	0.8888888888888888	WTA3(WA(dilator(dilator(IN20)), WA(dilator(dilator(dilator(dilator(IN2)))), dilator(dilator(IN38)), '0.6'), '0.6'), WA(IN27, complement(dilator(dilator(dilator(dilator(dilator(WA(dilator(dilator(dilator(dilator(IN2)))), dilator(dilator(IN38)), '0.6'))))))), '0.6'), IN18)
